"id","Country","Year","region","protest","protesterviolence","protesterdemand1","protesterdemand2","protesterdemand3","protesterdemand4","stateresponse1","stateresponse2","stateresponse3","stateresponse4","stateresponse5","stateresponse6","stateresponse7","Electoral_Score","Liberal_Score","Participatory_Score","Deliberative_Score","Egalitarian_Score","HDI_Score","violenceStatus","predicted_prob"
201990001,"Canada",1990,"North America",1,0,"political behavior, process","labor wage dispute",NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,0,0.299384806769452
201990002,"Canada",1990,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,0,0.299384806769452
201990003,"Canada",1990,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,0,0.299384806769452
201990004,"Canada",1990,"North America",1,1,"land farm issue",NA,NA,NA,"accomodation",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,1,0.299384806769452
201990005,"Canada",1990,"North America",1,1,"political behavior, process",NA,NA,NA,"crowd dispersal","arrests","accomodation",NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,1,0.299384806769452
201990006,"Canada",1990,"North America",1,0,"police brutality",NA,NA,NA,"crowd dispersal","shootings",NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.85,1,0.299384806769452
201991001,"Canada",1991,"North America",1,0,"labor wage dispute",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.854,0,0.297727761456059
201991002,"Canada",1991,"North America",1,0,"labor wage dispute",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.834,0.759,0.58,0.756,0.719,0.854,0,0.297727761456059
201992001,"Canada",1992,"North America",1,1,"police brutality",NA,NA,NA,"arrests",NA,NA,NA,NA,NA,NA,0.831,0.755,0.607,0.753,0.714,0.857,1,0.299884071311826
201993001,"Canada",1993,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.832,0.755,0.609,0.753,0.715,0.855,0,0.300572650402743
201993002,"Canada",1993,"North America",1,0,"political behavior, process",NA,NA,NA,"arrests",NA,NA,NA,NA,NA,NA,0.832,0.755,0.609,0.753,0.715,0.855,1,0.300572650402743
201994001,"Canada",1994,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.839,0.761,0.614,0.76,0.725,0.859,0,0.297852958644301
201994002,"Canada",1994,"North America",1,0,"price increases, tax policy",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.839,0.761,0.614,0.76,0.725,0.859,0,0.297852958644301
201995001,"Canada",1995,"North America",1,0,"price increases, tax policy",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.839,0.761,0.614,0.76,0.725,0.862,0,0.296613347468557
201995002,"Canada",1995,"North America",1,1,"land farm issue",NA,NA,NA,"shootings","killings",NA,NA,NA,NA,NA,0.839,0.761,0.614,0.76,0.725,0.862,1,0.296613347468557
201996001,"Canada",1996,"North America",1,0,"price increases, tax policy",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.844,0.769,0.619,0.766,0.731,0.864,0,0.294419399892178
201997001,"Canada",1997,"North America",1,0,"political behavior, process","labor wage dispute",NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.842,0.766,0.608,0.769,0.729,0.863,0,0.296360914321905
201997002,"Canada",1997,"North America",1,0,"labor wage dispute",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.842,0.766,0.608,0.769,0.729,0.863,0,0.296360914321905
202000001,"Canada",2000,"North America",1,1,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.84,0.765,0.601,0.765,0.726,0.867,1,0.293654628444805
202000002,"Canada",2000,"North America",1,0,"police brutality",NA,NA,NA,"accomodation",NA,NA,NA,NA,NA,NA,0.84,0.765,0.601,0.765,0.726,0.867,0,0.293654628444805
202000003,"Canada",2000,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.84,0.765,0.601,0.765,0.726,0.867,0,0.293654628444805
202000004,"Canada",2000,"North America",1,1,"political behavior, process",NA,NA,NA,"crowd dispersal","arrests",NA,NA,NA,NA,NA,0.84,0.765,0.601,0.765,0.726,0.867,1,0.293654628444805
202003001,"Canada",2003,"North America",1,1,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.831,0.754,0.584,0.757,0.718,0.882,1,0.289323520086399
202005001,"Canada",2005,"North America",1,1,"political behavior, process",NA,NA,NA,"arrests",NA,NA,NA,NA,NA,NA,0.828,0.758,0.579,0.754,0.718,0.894,1,0.282943876809714
202005002,"Canada",2005,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.828,0.758,0.579,0.754,0.718,0.894,0,0.282943876809714
202006001,"Canada",2006,"North America",1,1,"police brutality","political behavior, process",NA,NA,"crowd dispersal",NA,NA,NA,NA,NA,NA,0.836,0.765,0.579,0.746,0.724,0.898,1,0.274363966895261
202007001,"Canada",2007,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.838,0.767,0.579,0.731,0.724,0.896,0,0.269176117563412
202008001,"Canada",2008,"North America",1,1,"police brutality",NA,NA,NA,"crowd dispersal",NA,NA,NA,NA,NA,NA,0.835,0.766,0.578,0.727,0.72,0.898,1,0.26818772698604
202009001,"Canada",2009,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.835,0.765,0.578,0.727,0.719,0.898,0,0.268433176971101
202009002,"Canada",2009,"North America",1,1,"political behavior, process",NA,NA,NA,"arrests",NA,NA,NA,NA,NA,NA,0.835,0.765,0.578,0.727,0.719,0.898,1,0.268433176971101
202010001,"Canada",2010,"North America",1,1,"political behavior, process",NA,NA,NA,"arrests",NA,NA,NA,NA,NA,NA,0.835,0.766,0.578,0.724,0.718,0.901,1,0.266035404049006
202011001,"Canada",2011,"North America",1,0,"political behavior, process",NA,NA,NA,"ignore",NA,NA,NA,NA,NA,NA,0.812,0.742,0.561,0.707,0.695,0.903,0,0.271740625219345
